epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
103,24489.9,0.8158,1.75028,0.91168,1.13759,0,0.73939,0.66475,0.71573,0.53478,0.74151,0.66868,0.71307,0.47989,0.8666,1.93294,0.99208,1.05725,0,0.000217976,0.000217976,0.000217976
104,24785.9,0.81833,1.75731,0.91383,1.13754,0,0.71665,0.6842,0.71695,0.53667,0.72258,0.69216,0.718,0.47968,0.8674,1.93047,0.98897,1.0575,0,0.000213573,0.000213573,0.000213573
105,25080.3,0.81758,1.75828,0.90163,1.13629,0,0.76349,0.65745,0.72193,0.5433,0.77544,0.66245,0.72557,0.48673,0.86302,1.92303,0.98261,1.05379,0,0.000209171,0.000209171,0.000209171
106,25372.8,0.81766,1.7512,0.90695,1.1365,0,0.71587,0.70345,0.7246,0.54483,0.72087,0.7067,0.72438,0.48853,0.86092,1.91339,0.97977,1.047,0,0.000204769,0.000204769,0.000204769
107,25667.4,0.8101,1.74107,0.90551,1.1309,0,0.70724,0.69824,0.71752,0.54017,0.71634,0.70544,0.7203,0.4861,0.85861,1.91909,0.99044,1.05138,0,0.000200367,0.000200367,0.000200367
108,25959.5,0.82104,1.75131,0.90834,1.13741,0,0.74755,0.66017,0.71876,0.53954,0.75713,0.66704,0.7218,0.48487,0.86842,1.91852,0.98598,1.05406,0,0.000195965,0.000195965,0.000195965
109,26251.6,0.81546,1.73412,0.89665,1.13426,0,0.73828,0.67748,0.72154,0.54234,0.74293,0.67717,0.71708,0.48707,0.85993,1.90524,0.97862,1.05189,0,0.000191562,0.000191562,0.000191562
110,26547.2,0.80609,1.73737,0.89196,1.12548,0,0.75089,0.64803,0.715,0.53775,0.75582,0.65614,0.71505,0.47983,0.86188,1.91594,0.98338,1.05303,0,0.00018716,0.00018716,0.00018716
111,26840.8,0.80857,1.74592,0.89777,1.13147,0,0.73503,0.67099,0.7188,0.53944,0.73588,0.6726,0.71689,0.48248,0.85803,1.90988,0.9837,1.05016,0,0.000182758,0.000182758,0.000182758
112,27129.7,0.80728,1.73212,0.89431,1.12622,0,0.73714,0.65859,0.71866,0.54046,0.73707,0.66104,0.71156,0.48363,0.85586,1.90442,0.9812,1.04829,0,0.000178356,0.000178356,0.000178356
113,27422.2,0.80457,1.72743,0.88888,1.12989,0,0.73212,0.68026,0.72067,0.54089,0.73438,0.67841,0.71445,0.4844,0.85629,1.89894,0.97952,1.04744,0,0.000173954,0.000173954,0.000173954
114,27715.4,0.81042,1.72678,0.88968,1.1259,0,0.72018,0.67598,0.71517,0.53752,0.72019,0.68533,0.71877,0.48371,0.86351,1.91296,0.98551,1.05398,0,0.000169551,0.000169551,0.000169551
115,28010.6,0.80377,1.73014,0.88859,1.1267,0,0.7414,0.66949,0.71697,0.53711,0.75049,0.66548,0.71363,0.47963,0.86558,1.90926,0.98582,1.05522,0,0.000165149,0.000165149,0.000165149
116,28307.9,0.8058,1.73438,0.88575,1.12568,0,0.73847,0.66551,0.71726,0.53651,0.73034,0.67254,0.71298,0.47931,0.8635,1.91842,0.98066,1.05325,0,0.000160747,0.000160747,0.000160747
117,28607.2,0.80537,1.72574,0.88302,1.12766,0,0.73524,0.67051,0.71635,0.53774,0.73383,0.68209,0.7167,0.47812,0.86048,1.92781,0.98693,1.05252,0,0.000156345,0.000156345,0.000156345
118,28906.5,0.79638,1.70397,0.87141,1.12496,0,0.75505,0.67017,0.71734,0.53742,0.74407,0.67963,0.71518,0.47994,0.86172,1.92872,0.98411,1.05155,0,0.000151943,0.000151943,0.000151943
119,29203.5,0.80185,1.72171,0.8774,1.12312,0,0.7338,0.68091,0.71861,0.54398,0.74045,0.68534,0.71745,0.48387,0.85385,1.92363,0.97913,1.04274,0,0.00014754,0.00014754,0.00014754
120,29495.8,0.79945,1.72077,0.87222,1.12214,0,0.73485,0.67802,0.71811,0.53976,0.74071,0.68162,0.71783,0.48332,0.85745,1.91714,0.97219,1.04705,0,0.000143138,0.000143138,0.000143138
121,29793.8,0.7961,1.71659,0.87359,1.12285,0,0.73576,0.68138,0.71896,0.53966,0.74104,0.67689,0.71432,0.48356,0.85492,1.91944,0.97442,1.04737,0,0.000138736,0.000138736,0.000138736
