epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,15814.5,0.88797,1.96221,1.05482,1.18426,0,0.68894,0.64614,0.68705,0.50158,0.68136,0.64518,0.67623,0.45214,0.9125,1.98216,1.09138,1.0977,0,0.000392303,0.000392303,0.000392303
54,16109.7,0.88659,1.96614,1.05568,1.17971,0,0.6922,0.63961,0.68534,0.50415,0.67782,0.65413,0.67883,0.44764,0.90312,1.98594,1.0781,1.08481,0,0.00038702,0.00038702,0.00038702
55,16408.5,0.88929,1.95023,1.056,1.18239,0,0.71558,0.65452,0.69319,0.5089,0.72747,0.64736,0.68661,0.45799,0.90141,1.96444,1.05475,1.08307,0,0.000381737,0.000381737,0.000381737
56,16704.7,0.88279,1.93852,1.04446,1.1832,0,0.67484,0.66884,0.69247,0.50902,0.67955,0.6584,0.68215,0.4488,0.90989,2.0035,1.0708,1.09158,0,0.000376455,0.000376455,0.000376455
57,17003.9,0.8775,1.93459,1.04276,1.17758,0,0.69494,0.64334,0.68811,0.50035,0.67689,0.65446,0.68093,0.45321,0.90233,2.00986,1.06675,1.08532,0,0.000371172,0.000371172,0.000371172
58,17303,0.88528,1.93586,1.03745,1.18083,0,0.72699,0.64669,0.69064,0.50621,0.72512,0.6444,0.6848,0.45351,0.90268,1.96398,1.065,1.08003,0,0.00036589,0.00036589,0.00036589
59,17600.5,0.88027,1.93562,1.04139,1.17694,0,0.69449,0.65861,0.69762,0.51232,0.70063,0.66142,0.69153,0.45922,0.89823,1.96708,1.04905,1.08564,0,0.000360607,0.000360607,0.000360607
60,17895.3,0.87013,1.9107,1.0306,1.16919,0,0.70182,0.66635,0.70264,0.51999,0.70582,0.66322,0.69344,0.46675,0.89334,1.9781,1.03877,1.08132,0,0.000355324,0.000355324,0.000355324
61,18203.2,0.88051,1.93195,1.02448,1.1774,0,0.6776,0.69155,0.7008,0.51799,0.69377,0.68009,0.69608,0.46367,0.90498,2.00905,1.05863,1.08347,0,0.000350042,0.000350042,0.000350042
62,18499.9,0.87713,1.91515,1.02178,1.17685,0,0.71761,0.64698,0.70236,0.52245,0.72124,0.65062,0.696,0.46844,0.88352,1.97963,1.05785,1.07321,0,0.000344759,0.000344759,0.000344759
63,18798.5,0.87309,1.89301,1.01812,1.17407,0,0.71843,0.65284,0.70451,0.52298,0.73385,0.64348,0.70041,0.46801,0.88768,1.9452,1.05433,1.07507,0,0.000339476,0.000339476,0.000339476
64,19100.9,0.87034,1.91167,1.01867,1.17093,0,0.71376,0.64454,0.695,0.51529,0.70983,0.63909,0.68518,0.46109,0.89336,1.95866,1.05301,1.07745,0,0.000334194,0.000334194,0.000334194
