epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,9359.37,0.87381,1.8659,0.99802,1.17277,0,0.67715,0.6764,0.69868,0.52162,0.70189,0.66233,0.69605,0.47014,0.89219,1.9612,1.0265,1.08165,0,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,9475.22,0.87043,1.88202,1.00209,1.17173,0,0.6642,0.69048,0.69751,0.52211,0.68171,0.6812,0.69572,0.46746,0.89041,1.94182,1.03651,1.07675,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,9590.47,0.86802,1.86747,0.99245,1.16745,0,0.71891,0.6484,0.7006,0.52332,0.72779,0.65247,0.70089,0.47744,0.89191,1.94315,1.02904,1.08291,0,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,9706.6,0.86383,1.87018,0.99403,1.1652,0,0.71533,0.66968,0.71065,0.53241,0.72204,0.67371,0.71154,0.48287,0.88472,1.9188,1.01244,1.07514,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,9822.97,0.86795,1.87221,1.00128,1.17027,0,0.68501,0.68625,0.70191,0.52384,0.68455,0.68495,0.69844,0.47216,0.88689,1.93556,1.02308,1.07661,0,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,9940.02,0.86819,1.85637,0.98698,1.16717,0,0.6939,0.68019,0.69906,0.51818,0.69795,0.67818,0.69533,0.46665,0.89661,1.93891,1.03667,1.08372,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,10055.6,0.86597,1.84468,0.99226,1.16857,0,0.70409,0.67861,0.70301,0.5237,0.70792,0.67867,0.70071,0.47599,0.88812,1.92657,1.02104,1.07706,0,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,10172.5,0.86049,1.84785,0.97874,1.1621,0,0.71944,0.67246,0.70621,0.52712,0.71765,0.67133,0.70139,0.47375,0.88385,1.93006,1.01546,1.07283,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,10288.3,0.86106,1.84369,0.9756,1.16206,0,0.71794,0.67032,0.7113,0.5322,0.71943,0.66583,0.70447,0.47655,0.88258,1.94122,1.01331,1.07137,0,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,10404.9,0.85886,1.85275,0.97704,1.16473,0,0.71382,0.66194,0.7027,0.52391,0.73276,0.64722,0.69994,0.47155,0.88429,1.92976,1.01006,1.07498,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,10521.7,0.86318,1.84819,0.9731,1.16512,0,0.71713,0.64715,0.69797,0.51793,0.72108,0.64722,0.69569,0.46703,0.88755,1.95462,1.03056,1.07794,0,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,10638.1,0.85621,1.84465,0.97214,1.15995,0,0.73347,0.65546,0.70472,0.53064,0.73558,0.65624,0.70059,0.47732,0.88316,1.94202,1.0098,1.07615,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,10754.5,0.85155,1.82963,0.97123,1.15943,0,0.70044,0.67281,0.70636,0.5312,0.69381,0.67982,0.7032,0.47822,0.87278,1.91973,1.00346,1.06665,0,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,10869.7,0.85557,1.82255,0.96247,1.15869,0,0.69069,0.68401,0.70658,0.53195,0.69598,0.68693,0.70744,0.48059,0.87862,1.935,1.00151,1.07403,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,10985.4,0.8479,1.83373,0.96512,1.15494,0,0.67528,0.69479,0.70628,0.5315,0.67566,0.69244,0.70122,0.48186,0.87847,1.94954,1.01215,1.07068,0,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,11100.9,0.85101,1.83489,0.96396,1.15651,0,0.71667,0.67577,0.71295,0.53317,0.71901,0.67712,0.70958,0.48036,0.87766,1.94048,1.00919,1.0706,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,11216.5,0.85527,1.82513,0.96225,1.1585,0,0.7095,0.67458,0.70855,0.53209,0.71177,0.67627,0.70603,0.48079,0.87888,1.92845,1.00394,1.07268,0,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,11331.3,0.84461,1.81162,0.95937,1.15488,0,0.69187,0.69165,0.71156,0.53607,0.69565,0.69171,0.70746,0.48209,0.88068,1.94893,1.00091,1.07429,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
